PID,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Utilities,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remodeled,Exter Qual,Exter Cond,Bsmt Unf Sqft,Total Bsmnt Sqft,Central Air,Living Area Sqft,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom,Kitchen,Total Rooms,Garage Type,Garage Yr Blt,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Fence,Date Sold,SalePrice
907227090,RL,60,7200,Pave,,AllPub,CollgCr,1Fam,1Story,5,8,1972,1972,TA,TA,427.0,864.0,Y,864,0.0,0.0,1,0,3,1,5,Detchd,1977.0,1.0,297.0,TA,TA,Y,MnPrv,03-2006,119900.0
527108010,RL,134,19378,Pave,,AllPub,Gilbert,1Fam,2Story,7,5,2005,2006,Gd,TA,1335.0,1392.0,Y,2462,1.0,0.0,2,1,4,1,9,Attchd,2006.0,2.0,576.0,TA,TA,Y,,03-2006,320000.0
534275170,RL,-1,12772,Pave,,AllPub,NAmes,1Fam,1Story,6,8,1960,1998,TA,Gd,460.0,958.0,Y,958,0.0,0.0,1,0,2,1,5,Attchd,1960.0,1.0,301.0,TA,TA,Y,,04-2007,151500.0
528104050,RL,114,14803,Pave,,AllPub,NridgHt,1Fam,1Story,10,5,2007,2008,Ex,TA,442.0,2078.0,Y,2084,1.0,0.0,2,0,2,1,7,Attchd,2007.0,3.0,1220.0,TA,TA,Y,,06-2008,385000.0
533206070,FV,32,3784,Pave,Pave,AllPub,Somerst,TwnhsE,1Story,8,5,2006,2007,Gd,TA,1451.0,1511.0,Y,1565,1.0,0.0,2,0,2,1,5,Attchd,2006.0,2.0,476.0,TA,TA,Y,,02-2007,193800.0
908102320,RL,134,17755,Pave,,AllPub,Edwards,1Fam,1Story,5,4,1959,1959,TA,TA,1290.0,1466.0,Y,1466,0.0,0.0,1,1,3,1,6,Attchd,1959.0,2.0,528.0,TA,TA,Y,,11-2006,149900.0
528174080,RL,43,7052,Pave,,AllPub,NridgHt,TwnhsE,1Story,7,5,2005,2005,Gd,TA,705.0,1364.0,Y,1364,1.0,0.0,2,0,2,1,6,Attchd,2005.0,2.0,484.0,TA,TA,Y,,06-2006,185850.0
532377130,RL,80,10000,Pave,,AllPub,Sawyer,1Fam,1Story,5,6,1961,1983,TA,TA,270.0,864.0,Y,1144,1.0,0.0,1,0,3,1,6,Attchd,1961.0,1.0,264.0,TA,TA,Y,GdWo,03-2009,131400.0
528102030,RL,96,12444,Pave,,AllPub,NridgHt,1Fam,1Story,8,5,2008,2008,Ex,TA,596.0,1932.0,Y,1932,1.0,0.0,2,0,2,1,7,Attchd,2008.0,3.0,774.0,TA,TA,Y,,11-2008,394617.0
534127170,RL,-1,9156,Pave,,AllPub,NWAmes,1Fam,1Story,6,7,1968,1968,TA,TA,1489.0,1489.0,Y,1489,0.0,0.0,2,0,3,1,7,Attchd,1968.0,2.0,462.0,TA,TA,Y,,08-2009,185750.0
